Member,Has active contributions (<30 days),Commits created (<30 days),Issues opened (<30 days),PRs opened (<30 days),PR reviews (<30 days),Issue spread (<30 days),Commit spread (<30 days),PR spread (<30 days),PR review spread (<30 days)
sahana-un,TRUE,9,0,0,0,0,1,0,0
Bhavya-ss,TRUE,1,0,0,0,0,1,0,0
